,aagri,afore,afish,acoal,agold,amore,aomin,afood,abevt,aweav,aknit,aleat,afoot,awood,apapr,aprnt,apetr,abchm,aochm,arubb,aplas,aglss,anmmi,abisc,anfme,afabm,amach,aemch,ardtv,amopt,amtvp,aotrp,afurn,aomnf,aelcg,awatd,acnst,awtrd,artrd,amtvs,aacct,altrp,awtrp,aatrp,atrps,apost,afins,ainsp,aofin,areal,arent,acomp,arsea,aobus,apuba,aeduc,aheal,awast,amorg,arecr,aoact,anobs
flab-p,5064.1024014871755,1153.279639205067,262.88629931295645,1400.843026561065,2508.051539363174,6026.610085454327,453.0965350838545,2157.33596773488,1281.7453430091218,168.83494346645097,449.8919702133859,2.3014622576046957,35.01729485378244,1404.460370058019,200.6827194314405,217.39921776823272,37.92924175309136,34.73420082341628,418.90164976140494,96.38427563280558,230.06609144657526,30.70537953517099,761.1015645473142,650.6442768823129,79.17925629669992,1505.3738255406897,526.4272673314227,437.09983774251606,9.366128609698915,0.0,466.23213504475086,0.0,475.3118177631255,214.61980528729904,542.731368420686,823.6953909340173,5712.461647658368,3811.8110522729935,5277.9689888031335,1991.2825097307502,586.5368774774037,4462.9980921937495,0.0,84.14808020143649,408.1829293837669,201.38460674066542,905.9391170018005,48.965224037629255,34.09764927783838,183.2532260854643,56.3745371303856,34.36955019101919,3.7598711762357437,1859.3511169605895,11549.684619642907,168.492689035221,764.9261653809646,23.20389363387294,8.414778484822063,125.90087384031328,53.7711060838408,33079.727743838936
flab-m,4482.811348431922,588.525916259978,232.22856369089922,1924.8012229178755,4803.214824790917,7919.97873741976,1530.7720499318461,5595.983316802216,1356.6413944944024,604.9836929463487,1173.4746509083648,97.48587923107719,273.3488084241779,2668.492211615749,993.4928435329599,689.5026459410984,306.65302748974113,1624.7694445666461,1792.9883312330337,558.9877979433797,2163.759515243311,342.73003232648915,1147.3013955623167,4234.704111127677,417.77036393875755,4606.634506937147,1755.8409497195426,1427.7597510445798,815.9214531694956,57.899647177919746,1719.6123643311082,746.496216997354,970.1697925391577,639.9258696376561,639.5368419418188,931.0711371423863,9247.557695668856,8447.357309104515,11846.480398513393,5396.0529708624,1855.770772126516,10737.913445985396,0.17846083489225348,73.1611808505908,922.9454239387693,957.9167053554842,700.6298599516515,422.31218538537183,45.1160803390694,487.653310988839,343.4128755845238,94.55612067862897,472.168999245259,5709.861832967417,23857.212000897747,283.4579420254327,1741.3214205739666,33.57651001057573,22.820423286629513,217.5012701179288,186.6331123711604,39481.41957423607
flab-s,4471.189238064332,542.5696523918355,688.9171674907121,4997.718491454395,12623.857378643143,16847.55709094011,2887.710212369636,13193.334702623764,3160.220106829372,1608.601130222646,1662.5829731140184,383.3271469509016,401.61430556372125,3318.591530588256,2322.274715416195,2622.6857289135905,1007.654775946503,5891.092312806619,5736.29940001335,1484.6289339612915,4780.078259901756,1664.9494797466039,1534.0619515885564,5068.470549282841,1343.7360718625077,8781.313576237344,4991.449398662927,1650.9484581395182,183.9105991681746,290.25332075041007,5184.23637186218,1124.085831563106,1838.6499598763378,1805.2867778287286,3234.56782537559,1771.4179831771833,16657.740675760135,22094.586717624676,24576.73768029954,14571.772760793181,5274.188510720592,19876.00485974058,45.41944330792683,883.9752365857252,5001.232626661661,4797.420149678704,12510.3078412747,7231.62600779209,22726.715969170316,3386.843176502602,1023.4598729594826,726.4823889671608,205.45459693644298,23372.061852080446,131456.4615366817,1157.5686545951114,4988.950060356414,100.81953921275225,58.88444112975921,994.9258257343865,309.1354310084901,23263.912081123322
flab-t,8007.296697573202,855.0333299782108,446.3319930897214,11571.891984301856,15205.407330549753,28946.754638622933,13021.766361475957,24612.43419187007,11521.048212579064,2297.9587034714027,2238.7498311190434,152.781889004486,705.7180406022338,2902.1564457574477,7077.033369706981,10039.594875417446,5614.432718920636,7183.833771449493,18371.231964342824,1378.7828470614518,5041.8914875588425,942.7856277572957,2568.1931196405835,4878.486472255849,4657.202643639988,9752.863190175785,15654.985943190053,3674.176679603224,2230.595041351983,1011.6115059667974,17642.057144757466,3081.0549765378655,802.0297776662311,2485.366323031901,26287.45185478311,4515.817398767216,26631.42505442259,55409.490266248766,31629.200478634662,19051.096303963306,6691.718300668712,26452.33505772973,93.40212887047261,3609.0148524486062,14624.187856963448,22082.20625026019,71524.93212218441,29620.452447292402,36158.0843054986,10945.253849721039,1908.75350569459,6553.193699747892,3750.617585267306,60979.34702965767,376729.37094911624,13917.323358695021,29169.104953066184,217.04645819530097,795.0201294460757,4759.213342701007,283.0019618461362,9712.560207867471
fcap,49747.28003582615,3572.5060939257287,3478.971958619154,46146.295312414666,5799.735197778049,67785.93231670285,26550.32945828481,42443.141459754355,17363.063390665484,716.9422679061902,132.41995928568588,1061.6144585576283,119.7623193024415,8763.14786223875,8249.035698050251,101.93487798573415,33762.67189495758,7228.798593322651,1470.0637368458895,2504.82519003201,410.0095726674324,35.54362266273506,6511.64908613756,3593.979616149836,2419.600857056378,1904.7120857224827,8491.324665276139,298.4727092231643,764.5105965954868,1901.0370940466069,354.6394678192946,676.5082078360276,947.4031443819883,15082.863579160296,76878.70617295668,21337.108413064627,64060.46411582991,84593.12157867542,68480.32404102436,35744.25871296185,16155.74836479947,141695.63326345733,1749.529701846189,10851.053947268634,20068.574489778915,39522.61206151225,75778.26355786201,43165.51308509296,36684.77067309765,164493.65451760797,4448.677939771544,330.0173179281789,6138.4953277903705,32319.74396700706,75708.95299675362,21235.047899827012,32760.166990356254,661.2144141092617,865.202633733548,4394.38303988145,651.2648658745965,196226.76952293917
