,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95,gov
cphar,754.897411028328,1065.45709405327,1460.20292107334,1406.28379871285,1805.34303701374,2176.50114759517,2315.90504784972,4897.89608401247,6647.40121958203,2197.31605301679,1865.45163628931,2944.56477614063,2452.53380998151,3201.71836483177,0.0
csoap,2708.96295290718,3608.87100796277,3812.83133526424,4259.86927825075,4455.77824293767,4663.94168254882,4942.14172221685,6019.39755108925,7441.24690870074,1917.23755719091,1694.94809720671,1932.9151173655,2287.06223021303,3006.20287198314,0.0
coche,3.78665034745454,39.068305024666,64.6596421903387,106.094886445819,8.50435547090692,24.0794676280734,30.5552659943319,50.1687972445598,11.2966272337817,0.0,8.3226490772821,19.7993131797834,16.9672736351485,0.0,0.0
ctyre,6.12723734486555,24.1613878923414,105.806536651426,175.077653001528,200.387255397204,321.572732235475,624.864236103672,1173.52301339093,2209.65185018906,452.683444688606,565.150685801792,827.318009906863,1796.58261085138,1408.37573736981,0.0
corub,0.139251696038216,0.549107869220233,2.40463015407542,3.9789318981225,4.5541348584916,7.3082770983169,14.2010827675829,26.6702692840032,50.2180265712492,10.2879868843555,12.8439926651458,18.8021827062128,40.8303386261773,32.0076894446012,0.0
cplas,120.601288458708,185.042639717838,253.133462394122,217.722994114254,282.848261323122,458.171664206398,465.655331714933,535.126214422339,1533.90668335369,243.976391040956,395.55110383187,273.678570862773,523.801462457666,738.65838412993,0.0
cglas,195.380370761886,221.639530939249,309.928061209857,294.814284828724,346.790239825088,423.175605630801,647.826158006574,757.714283467198,1171.13768928095,203.59686909937,173.450621658483,351.829607498191,232.870792915191,556.822952370586,0.0
ccera,0.824516787353856,0.113108740090885,0.0,1.98233225899155,0.0,23.3154016343048,22.9860727231167,20.8812701260458,532.076193069282,77.2795002767887,316.165246529431,114.312448758348,239.142768402311,1281.47503546905,0.0
cclay,26.9602130559633,0.0,0.0,7.95565459109069,0.0,128.155023645713,55.6061328684989,267.756790630809,128.173759149234,102.800673968173,68.9051915184862,29.5382839022402,0.0,0.0,0.0
ccmnt,20.1720927701512,0.0,0.0,5.95255690767859,0.0,95.8877817684911,41.6054601825414,200.340212788041,95.9017999928411,76.9172234587134,51.5560434470861,22.1010494950543,0.0,0.0,0.0
cconc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cfurn,337.232461355258,684.98330130321,1050.75479183504,1037.73154223221,1320.50023841837,1195.09628305258,1796.92774719311,2413.31520500186,2991.09363443501,938.509437991808,660.673013194266,676.733177967936,1064.47172336455,1385.82820977296,0.0
cjewl,12.9599063359938,28.082870045029,42.1492568128368,92.6544853879208,123.67999033585,178.430583070227,266.334846186243,576.366852935136,987.974239436302,265.522327988174,675.63917230712,886.882615131381,612.197302398822,970.167707938872,0.0
comnf,379.774137001794,507.03029214629,633.841736025734,691.028116807732,917.7707290569,829.297333741432,830.919720728096,1280.57070389157,2025.64612633128,691.015516593149,534.921072087733,596.596411666189,1016.03045495172,1067.67722730813,0.0
cwast,0.0,160.093418315154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnfme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cstrm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cofbm,93.0490490321607,177.834867365676,208.999852825026,209.365058209066,287.835694370122,364.5627512371,335.335901554962,635.388048678885,1029.24356118631,210.621920228146,291.759842454957,289.558573043571,607.203168685821,413.879747516895,0.0
cengt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpump,0.150054926542526,1.00839902553351,0.52241150007233,4.83649735261653,1.47111122295187,3.39949180542318,6.04285820517718,41.6323521391506,55.0405141258913,22.881278679201,14.1298764342885,35.5383092968341,65.4260540245101,161.704372892216,0.0
cgear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cgenm,0.150449746976534,1.01105229757254,0.523786054976602,4.8492230126654,1.47498197071672,3.40843645563194,6.05875800903027,41.7418940496968,55.1853352269101,22.9414832761905,14.1670545801502,35.6318167279047,65.598201275124,162.129845032034,0.0
cspcm,0.366242897861364,2.46122529810642,1.27506311236218,11.8045628139979,3.59057879527583,8.29722661402453,14.7489586075149,101.613146889289,134.338790852914,55.846922212641,34.4871508783831,86.7392606285224,159.68704376247,394.675999578832,0.0
cdoma,317.222461932742,545.0330231697,644.671877161094,661.777943678832,908.544207620077,854.979563752484,993.94328903246,1257.78586239242,1617.01753149126,316.151337328403,450.596242106781,534.4189483915,667.695503493728,819.533463133671,0.0
coffm,27.719414925081,53.4996005741346,103.594070009105,110.400689884077,193.474824081124,445.301091062265,430.780860961152,880.838260769507,1116.31620275854,357.149147196505,333.386978114802,539.67885080942,826.266139527796,900.804438957675,0.0
celcm,16.2353858511265,24.9481726140498,53.4993008062576,62.7666221001421,69.3982002083431,268.340803608391,202.587416956713,239.790024034823,644.162416575211,84.690102861572,79.8532399969905,160.196391080736,398.062542477648,203.469030547046,0.0
crdtv,167.20843856623,234.17103366614,293.220232218274,367.06739940068,403.144557940204,502.097026576578,652.678925494161,893.517577139502,1056.71728594343,283.783324911386,264.696575929512,378.784731046843,530.007107652524,423.106564005518,0.0
