index,2021,2022,2023,2024,2025
Gov_wealth,203.74267712,203.87536746,204.35999964,204.8916562,205.31913062
Gov_PI,0.9171822684,0.91598999626,0.91492655365,0.91409254271,0.91340764872
Gov_income,186.86917077,186.74779708,186.97439018,187.28993499,187.54006434
K_price,0.80052863001,0.79921071041,0.79801783562,0.797130187,0.79658332456
L_price,0.82107564809,0.82290303338,0.82474569237,0.82638262268,0.82767533196
farm_supply,83.357222308,83.362075068,83.145072389,82.828085733,82.472218856
farm_price,0.87532128154,0.87837840915,0.88019601407,0.88102211713,0.88138961917
K_farm_tax,0.070374134748,0.072522715254,0.07383179768,0.074410773471,0.074677197813
L_farm_tax,0.079785083102,0.083181673667,0.084520249944,0.084371151662,0.083685172507
fish_supply,96.855538212,106.51333031,115.47346338,122.83577475,128.25726806
fish_price,0.9343215115,0.93353323369,0.94553874026,0.96262423599,0.98004426574
K_fish_tax,0.10351821263,0.10298993813,0.11181198521,0.12454715978,0.13760274048
L_fish_tax,0.16774229521,0.16485539208,0.18063067071,0.20381615597,0.22769078592
min_supply,104.20476424,105.13724177,106.75351966,109.01608138,111.89183826
min_price,0.93558731444,0.92802946113,0.92132125867,0.91538102109,0.91000595576
K_min_tax,0.16428036318,0.15504572135,0.14706788393,0.14047096052,0.13468586693
L_min_tax,0.14318189709,0.13288450478,0.12330856719,0.11424893425,0.10586465058
fore_supply,72.765566829,68.372906093,64.761066553,61.829470391,59.514402803
fore_price,0.89049967249,0.88379388836,0.87659112849,0.86965936276,0.86261632222
K_fore_tax,0.091743763925,0.08424965466,0.076280682602,0.0685562092,0.060448692949
L_fore_tax,0.099163115243,0.089223259033,0.078461934105,0.068101877265,0.057926202582
oilext_supply,85.729910949,86.987180914,88.677038117,90.740685535,93.117694553
oilext_price,0.91305353987,0.90662748341,0.90162275052,0.89771780326,0.89475640085
K_oilext_tax,0.15901776703,0.15013367209,0.14343882969,0.13826278181,0.13433140797
L_oilext_tax,0.08847581228,0.081697697826,0.075896700985,0.070983360887,0.066980125849
smwork_supply,68.223856919,68.615836936,69.13263473,69.752995399,70.453718457
smwork_price,0.88175409321,0.8789228014,0.87685004121,0.87529501584,0.87413242852
K_smwork_tax,0.1108699,0.1069816099,0.10423722324,0.102177404,0.10058035266
L_smwork_tax,0.062225456568,0.059098944005,0.05643171318,0.054101223381,0.052148378771
mills_supply,72.966306977,71.681233714,70.41361809,69.29142743,68.327718894
mills_price,0.90491006306,0.9075096775,0.90700072585,0.90504685427,0.90292420417
K_mills_tax,0.12773527961,0.13078027125,0.12999411666,0.12734387679,0.12446253126
L_mills_tax,0.10469815411,0.10742506423,0.10613066693,0.10299941969,0.099680132745
fact_supply,81.816744563,80.225868081,79.104328287,78.380716702,78.050123791
fact_price,0.96321701384,0.95571188279,0.94951204584,0.944307458,0.93927576805
K_fact_tax,0.23254544157,0.22180276714,0.21306016185,0.20570545749,0.19854849986
L_fact_tax,0.13423500073,0.12696062676,0.12054210375,0.11483951912,0.1091797175
foodpr_supply,71.293025754,64.714923999,58.273180317,51.932232189,45.752550297
foodpr_price,0.96653379143,0.972549501,0.97985101349,0.98981555495,1.001246404
K_foodpr_tax,0.21221206188,0.21873997192,0.22604021161,0.23637950614,0.24836312755
L_foodpr_tax,0.17245300202,0.18005545525,0.18982399803,0.20294651697,0.2180069983
oilref_supply,98.061527687,101.09110284,104.07554993,106.87084086,109.37799265
oilref_price,0.89134953396,0.89153567298,0.89196566797,0.89371475178,0.89613948648
K_oilref_tax,0.1065087862,0.10635651629,0.1068643449,0.10883494195,0.11147798354
L_oilref_tax,0.091157149159,0.090739549838,0.090179744505,0.091307870399,0.093467225326
retail_supply,80.017418932,78.775075525,77.470802012,76.225302449,75.074178569
retail_price,0.87038891599,0.87293124475,0.87349851493,0.87298769384,0.87220120883
K_retail_tax,0.091578027208,0.0947555231,0.095419836961,0.094661226631,0.093485828888
L_retail_tax,0.055276839477,0.05801139356,0.05819035077,0.056950194161,0.055384583887
itser_supply,72.0808686,71.494299762,71.174136565,71.085899736,71.219439907
itser_price,0.9038730329,0.89911066338,0.89524503118,0.89204683497,0.88912370254
K_itser_tax,0.12505346351,0.11912330778,0.11448262858,0.11072366247,0.10732720851
L_itser_tax,0.10439877803,0.097769110354,0.091923667334,0.086759935766,0.081961186883
tourism_supply,79.41736423,80.503480846,80.733617098,80.565755562,80.213007911
tourism_price,0.95090462366,0.9661881306,0.97541391834,0.97945574237,0.98127430939
K_tourism_tax,0.15330439938,0.16850680399,0.1785724645,0.18289516185,0.18515593967
L_tourism_tax,0.18279144416,0.20299115077,0.21386093607,0.21785617216,0.21876167488
restau_supply,82.355540764,85.150349015,86.713060447,87.41245357,87.610014066
restau_price,0.93493358098,0.9534005993,0.96678903468,0.97584746828,0.98101626874
K_restau_tax,0.17705597587,0.20133189499,0.21882607256,0.23104075527,0.23776297198
L_restau_tax,0.12833698422,0.14913149536,0.16399720997,0.17321531881,0.17830656014
transp_supply,72.463215121,71.657905005,70.776358049,69.935573028,69.17446527
transp_price,0.8851848122,0.88792181352,0.88849057454,0.88789122203,0.88695482386
K_transp_tax,0.11962951626,0.12379946607,0.12485693752,0.1241249411,0.12274187209
L_transp_tax,0.056776569969,0.059413337077,0.059745220576,0.058775937567,0.057465189006
commun_supply,85.474624132,87.493211769,89.054242547,90.233247659,91.084969682
commun_price,0.88905970541,0.89358438817,0.89791898062,0.90159185646,0.90482789587
K_commun_tax,0.12216813932,0.12844533062,0.13446232409,0.13957037583,0.14402705624
