,afore,afish,acoal,agold,amore,aomin,afood,abevt,aweav,aknit,aleat,afoot,awood,apapr,aprnt,apetr,abchm,aochm,arubb,aplas,aglss,anmmi,abisc,anfme,afabm,amach,aemch,ardtv,amopt,amtvp,aotrp,afurn,aomnf,aelcg,awatd,acnst,awtrd,artrd,amtvs,aacct,altrp,awtrp,aatrp,atrps,apost,afins,ainsp,aofin,areal,arent,acomp,arsea,aobus,apuba,aeduc,aheal,awast,amorg,arecr,aoact,anobs
flab-p,1153.27963920507,262.886299312956,1400.84302656107,2508.05153936317,6026.61008545433,453.096535083855,2157.33596773488,1281.74534300912,168.834943466451,449.891970213386,2.3014622576047,35.0172948537824,1404.46037005802,200.68271943144,217.399217768233,37.9292417530914,34.7342008234163,418.901649761405,96.3842756328056,230.066091446575,30.705379535171,761.101564547314,650.644276882313,79.1792562966999,1505.37382554069,526.427267331423,437.099837742516,9.36612860969892,0.0,466.232135044751,0.0,475.311817763125,214.619805287299,542.731368420686,823.695390934017,5712.46164765837,3811.81105227299,5277.96898880313,1991.28250973075,586.536877477404,4462.99809219375,0.0,84.1480802014365,408.182929383767,201.384606740665,905.939117001801,48.9652240376293,34.0976492778384,183.253226085464,56.3745371303856,34.3695501910192,3.75987117623574,1859.35111696059,11549.6846196429,168.492689035221,764.926165380965,23.2038936338729,8.41477848482206,125.900873840313,53.7711060838408,33079.7277438389
flab-m,588.525916259978,232.228563690899,1924.80122291788,4803.21482479092,7919.97873741976,1530.77204993185,5595.98331680222,1356.6413944944,604.983692946349,1173.47465090836,97.4858792310772,273.348808424178,2668.49221161575,993.49284353296,689.502645941098,306.653027489741,1624.76944456665,1792.98833123303,558.98779794338,2163.75951524331,342.730032326489,1147.30139556232,4234.70411112768,417.770363938758,4606.63450693715,1755.84094971954,1427.75975104458,815.921453169496,57.8996471779197,1719.61236433111,746.496216997354,970.169792539158,639.925869637656,639.536841941819,931.071137142386,9247.55769566886,8447.35730910451,11846.4803985134,5396.0529708624,1855.77077212652,10737.9134459854,0.178460834892254,73.1611808505908,922.945423938769,957.916705355484,700.629859951652,422.312185385372,45.1160803390694,487.653310988839,343.412875584524,94.556120678629,472.168999245259,5709.86183296742,23857.2120008977,283.457942025433,1741.32142057397,33.5765100105757,22.8204232866295,217.501270117929,186.63311237116,39481.4195742361
flab-s,542.569652391835,688.917167490712,4997.7184914544,12623.8573786431,16847.5570909401,2887.71021236964,13193.3347026238,3160.22010682937,1608.60113022265,1662.58297311402,383.327146950902,401.614305563721,3318.59153058826,2322.27471541619,2622.68572891359,1007.6547759465,5891.09231280662,5736.29940001335,1484.62893396129,4780.07825990176,1664.9494797466,1534.06195158856,5068.47054928284,1343.73607186251,8781.31357623735,4991.44939866293,1650.94845813952,183.910599168175,290.25332075041,5184.23637186218,1124.08583156311,1838.64995987634,1805.28677782873,3234.56782537559,1771.41798317718,16657.7406757601,22094.5867176247,24576.7376802995,14571.7727607932,5274.18851072059,19876.0048597406,45.4194433079268,883.975236585725,5001.23262666166,4797.4201496787,12510.3078412747,7231.62600779209,22726.7159691703,3386.8431765026,1023.45987295948,726.482388967161,205.454596936443,23372.0618520804,131456.461536682,1157.56865459511,4988.95006035641,100.819539212752,58.8844411297592,994.925825734387,309.13543100849,23263.9120811233
flab-t,855.033329978211,446.331993089721,11571.8919843019,15205.4073305498,28946.7546386229,13021.766361476,24612.4341918701,11521.0482125791,2297.9587034714,2238.74983111904,152.781889004486,705.718040602234,2902.15644575745,7077.03336970698,10039.5948754174,5614.43271892064,7183.83377144949,18371.2319643428,1378.78284706145,5041.89148755884,942.785627757296,2568.19311964058,4878.48647225585,4657.20264363999,9752.86319017579,15654.9859431901,3674.17667960322,2230.59504135198,1011.6115059668,17642.0571447575,3081.05497653787,802.029777666231,2485.3663230319,26287.4518547831,4515.81739876722,26631.4250544226,55409.4902662488,31629.2004786347,19051.0963039633,6691.71830066871,26452.3350577297,93.4021288704726,3609.01485244861,14624.1878569635,22082.2062502602,71524.9321221844,29620.4524472924,36158.0843054986,10945.253849721,1908.75350569459,6553.19369974789,3750.61758526731,60979.3470296577,376729.370949116,13917.323358695,29169.1049530662,217.046458195301,795.020129446076,4759.21334270101,283.001961846136,9712.56020786747
fcap,3572.50609392573,3478.97195861915,46146.2953124147,5799.73519777805,67785.9323167028,26550.3294582848,42443.1414597544,17363.0633906655,716.94226790619,132.419959285686,1061.61445855763,119.762319302442,8763.14786223875,8249.03569805025,101.934877985734,33762.6718949576,7228.79859332265,1470.06373684589,2504.82519003201,410.009572667432,35.5436226627351,6511.64908613756,3593.97961614984,2419.60085705638,1904.71208572248,8491.32466527614,298.472709223164,764.510596595487,1901.03709404661,354.639467819295,676.508207836028,947.403144381988,15082.8635791603,76878.7061729567,21337.1084130646,64060.4641158299,84593.1215786754,68480.3240410244,35744.2587129618,16155.7483647995,141695.633263457,1749.52970184619,10851.0539472686,20068.5744897789,39522.6120615122,75778.263557862,43165.513085093,36684.7706730976,164493.654517608,4448.67793977154,330.017317928179,6138.49532779037,32319.7439670071,75708.9529967536,21235.047899827,32760.1669903563,661.214414109262,865.202633733548,4394.38303988145,651.264865874597,196226.769522939
