,aagri,afore,afish,acoal,agold,amore,aomin,afood,abevt,aweav,aknit,aleat,afoot,awood,apapr,aprnt,apetr,abchm,aochm,arubb,aplas,aglss,anmmi,abisc,anfme,afabm,amach,aemch,ardtv,amopt,amtvp,aotrp,afurn,aomnf,aelcg,awatd,acnst,awtrd,artrd,amtvs,aacct,altrp,awtrp,aatrp,atrps,apost,afins,ainsp,aofin,areal,arent,acomp,arsea,aobus,apuba,aeduc,aheal,awast,amorg,arecr,aoact,anobs,cagri,clani,cfore,cfish,ccoal,cmore,comin,celcg,cwatr,cmeat,cpfis,cvege,cfrui,cfats,cdair,cgrai,cstar,cafee,cbake,csuga,cconf,cpast,cofoo,calcb,csftd,ctoba,ctexf,ctexm,ccarp,cotex,cknit,cwear,cleat,cfoot,cwood,cpapp,cprnt,cpetr,cbchm,cfert,cpain,cphar,csoap,coche,ctyre,corub,cplas,cglas,ccera,cclay,ccmnt,cconc,conmp,cfurn,cjewl,comnf,cwast,cirst,cnfme,cstrm,ctank,cofbm,cengt,cpump,cgear,clift,cgenm,cspcm,cdoma,coffm,celcm,crdtv,cmeda,cmtvp,cship,crail,cairc,coteq,ccnst,ccsrv,ctrad,cacco,ccats,cptrp,cftrp,ctrps,cpost,celcd,cwatd,cfins,cinsp,cofin,creal,crent,crsea,clacc,cobus,ctelc,csupp,cmnfs,cpuba,ceduc,cheal,cosrv,trc,flab-p,flab-m,flab-s,flab-t,fcap,ent,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95,gov,atax,dtax,mtax,stax,s-i,dstk,row,total,column total,diff
atax,192.68912418628,215.85537508972,25.8908226268098,910.221706021926,1219.58380150986,970.050619823778,438.761599065737,468.625695893774,762.653366935787,106.800708254212,159.975279030511,0.675448544355383,79.6329080344124,201.242027440687,94.3620329211755,383.913261951881,796.909940914919,-884.320049832122,658.473240717737,31.2308093614585,-22.42870040166,58.7808973544514,140.838413617699,511.472989464389,102.164645841864,106.134869846257,78.5153643868501,248.334710869041,19.0200652998169,89.9221241533825,111.440526814482,69.5310111040353,70.3972273331267,171.932156651312,229.332262227817,-222.121712103704,1490.49646228461,4198.9437700548,3434.2186643601,1377.3427950918,971.917157603361,3354.85850001432,59.4692259171166,231.14989646177,557.150023560006,1183.83736299972,2984.77998751471,2100.93260857467,1231.20684015963,26797.0070949004,199.81934515668,180.382519477282,-5.49914011128169,1194.53624764091,7590.27244895928,1604.813946019,1914.90054781219,-185.595978755757,132.594177176211,939.627178944569,135.343747231852,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72271.0,72271.0,0.0
dtax,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212908.0,36.162028478026,244.251480323186,649.986011100333,1154.43051299374,2474.87301208431,6838.55347496044,11080.2654507763,25674.7852721573,83838.8173627526,17867.022421456,33245.1043254843,36654.283482296,60211.822780985,114673.642384152,-,-,-,-,-,-,-,-,607552.0,607552.0,0.0
mtax,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514.259609331456,20.4281665139959,3.02054527766028,20.1891781019287,0.0,0.0,0.0442954556892216,0.0,0.0,1014.3098680968,63.0459571421771,122.707515125995,94.9654071658962,455.468284553777,504.567540369895,96.6761909726872,14.8225207754521,96.7326530091578,197.19706890138,0.0,202.656777173251,48.9363820293445,368.576707593691,2134.27433932731,7.59369978557425,2203.74546493654,372.996561420697,541.8511823729,115.868885917539,158.938998983395,260.518388994517,1476.84402236799,957.668612186105,3152.22078296039,123.915176311883,272.237945566933,48.5305839839784,1814.34929784591,261.870799044377,8.23273843924059,52.6012491490584,53.1612705673029,811.417451372661,67.1871260219481,856.571740577434,349.170779385196,1014.66408136121,176.263963599244,304.592042244289,284.68411713242,0.0,137.221178020079,74.1055524400792,827.006713432408,93.3684717234677,605.949901342395,17.2626843608559,68.578508931231,15.9690988414587,51.9961975875105,24.4659645057318,813.616562350982,23.8443941754025,219.260036090877,30.8574214213633,10.4166883049246,626.156939322475,216.628272139691,175.821550348039,4.93238989338202,1856.47232408431,2192.02302111143,50.939251593041,14300.2926015784,16.631409026143,0.00956782332866923,0.0,133.597330104727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44308.0,44308.0,0.0
stax,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,968.014785055913,1121.64549522867,1349.81115497641,181.543595151735,346.153483461493,4.94587923013926,870.646419270981,3.55482286466788,2.46978933926539,5702.52377006361,2101.13355939157,1117.50496434973,1198.77098218877,2322.45769118456,3297.00394413743,2371.69186969107,2002.93629423939,508.970604127561,3377.84595539711,2268.2189483526,645.55282143763,359.345592905372,2456.16136722691,40318.2087505083,4450.85001672678,33099.3296946525,643.550218694365,1830.00132467183,502.110796708676,393.360500690349,199.255342034716,8086.35768055714,2511.07785653508,199.86822671804,2932.8850417571,1912.19956695241,2528.56927240655,58318.8029593298,1450.12800818991,744.561482771814,999.119364965712,6030.29429733885,5499.20242884311,892.174244382984,1225.98339981928,686.140338732549,756.107950224635,1420.19053350939,209.669176625534,-13.0097653689762,641.069488492797,180.557243617549,346.508396641308,1828.39428860565,1622.0000665559,940.543383090421,496.498607958883,296.970175901884,113.114671079238,637.813527063811,109.691366635148,824.16530830883,856.942801502548,-173.966057733145,281.665193253051,44.5265134879781,-571.677612389717,794.926091369718,3155.99071419767,1034.1166635962,-81.829277107216,3894.87070669578,3779.44745312419,1683.07197851108,13216.3897404398,22.0586998851732,0.00532694509081683,323.808167339775,542.561761597863,971.356002900528,454.254263945155,2331.75537391329,5509.92528732203,-10347.3626661972,1732.48647507436,98.7051076646784,184.403035487187,5465.37175669829,2888.83544084087,4463.17517166748,15063.4503040308,2188.43542276908,2812.78865579679,1162.8554613933,93.8611645748366,1077.31234404857,12482.6158840241,12119.3363633428,7967.196557791,-246.402745691312,20347.6428850548,69.0183000947708,17361.5387410539,25900.3175254817,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,381399.0,381399.0,0.0
