,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95
cfats,1305.0376538174812,1592.312394172663,1619.5952798832184,1767.560168635454,1708.6417922424278,1669.4961851319015,1695.1445858233778,1841.9223072239008,2423.31972898091,433.0823509701913,325.47429896010294,349.86264377404893,518.4461069804107,369.18774381008905
cdair,1451.4704915339705,1968.735391835325,2420.9965997287354,2600.5984460942323,2756.7155393334447,3181.2337418762427,3340.738042661444,4370.508334714244,5572.917112678875,1518.4682178141265,1503.223981279674,1456.270283750773,1607.7178233437576,1757.4320753916343
cgrai,4419.690157428654,5003.766705977492,4579.507257911156,4139.883896045254,3691.1583139975583,3302.6357490498526,2892.864119198711,2871.4541789727255,2635.1131956965532,573.5889515930158,489.4563833386379,413.3989761234681,391.1816296930764,488.6855090047088
cstar,2044.081089622772,2314.213109120587,2117.995572597453,1914.6723149622856,1707.139333232339,1527.449898088002,1337.9328935453273,1328.0309202424403,1218.7245848637765,265.28156667207776,226.3707413281074,191.1946311763684,180.91923718214701,226.01421641519886
cafee,34.203770699013106,53.1861185927076,102.69472165664934,185.67428332767452,220.9842041375533,424.6958147556067,566.0964871819173,1175.9656523077408,3101.250771402618,763.8463948223925,1258.5552101398764,1509.7804916843984,1540.6220490709602,1611.582033999928
cbake,5166.276583236772,6378.527221103442,6933.9334269488345,7377.761800052067,7538.284017413816,7918.324614432006,7753.123651910774,8054.949648610098,8758.696863869776,1884.737382513992,1860.2164828156888,1661.837088907277,1671.2113510615375,1733.5551260051166
csuga,1823.5410653688168,2281.1014043938576,2166.475510675531,2022.9508407074397,2003.391413451913,1774.2802576282654,1522.8270897250263,1450.4359516664665,1392.1931455484284,305.27527399922485,229.393734288999,204.4322088596596,260.6573555613298,222.31464451230715
cconf,167.56439840259316,302.83656565838487,278.7272239614517,370.0981680673318,414.21517394565444,603.7153490026906,593.9189525304073,979.5978431299756,1758.2525624460768,594.2106123311811,466.34027979752034,643.787371792419,1162.8448564990906,1004.4653517810293
cpast,37.261962201604796,61.980509818816905,91.61419145581094,93.78127643131668,128.89922587723947,167.55481991376638,156.75618995446305,232.6805204039992,272.6145108533423,74.03932726719746,75.87228513672521,78.82958134331676,79.95132752027979,69.13955211722582
cofoo,1178.023834091577,1614.4501070783172,1966.412544820806,2151.8457228587513,2278.9662792517306,2262.7510255371603,2074.435553515241,3102.082222332491,3630.816031942593,921.8938436155489,639.8151271995856,1185.6865283771124,1090.033214490093,2127.306859740217
